328;81479;Arandu;SP
329;44015;Arantina;MG
330;24214;Arapeí;SP
331;3918754;Arapiraca;AL
332;96410;Arapoema;TO
333;71725;Araponga;MG
334;3888254;Arapongas;PR
335;1332907;Araporã;MG
336;1030461;Arapoti;PR
337;100007;Arapuá;MG
338;94947;Arapuã;PR
339;370515;Araputanga;MT
340;2764906;Araquari;SC
341;84325;Arara;PB
342;1563382;Araranguá;SC
343;8405366;Araraquara;SP
344;4640379;Araras;SP
345;60504;Ararendá;CE
346;202456;Arari;MA
347;143245;Araricá;RS
348;150208;Araripe;CE
349;757099;Araripina;PE
350;2170917;Araruama;RJ
351;138871;Araruna;PB
352;426466;Araruna;PR
353;98994;Arataca;BA
354;928213;Aratiba;RS
355;83580;Aratuba;CE
356;63554;Aratuípe;BA
357;104401;Arauá;SE
358;13952249;Araucária;PR
359;237726;Araújos;MG
360;4878822;Araxá;MG
361;231389;Arceburgo;MG
362;42851;Arco-Íris;SP
363;1244153;Arcos;MG
364;802665;Arcoverde;PE
365;200179;Areado;MG
366;295171;Areal;RJ
367;137331;Arealva;SP
368;193409;Areia;PB
369;662157;Areia Branca;RN
370;158798;Areia Branca;SE
371;15162;Areia de Baraúnas;PB
372;50275;Areial;PB
373;36822;Areias;SP
374;113418;Areiópolis;SP
375;170423;Arenápolis;MT
376;93215;Arenópolis;GO
377;223504;Arês;RN
378;25964;Argirita;MG
379;42846;Aricanduva;MG
380;197938;Arinos;MG
381;593551;Aripuanã;MT
382;2025529;Ariquemes;RO
383;586079;Ariranha;SP
384;75633;Ariranha do Ivaí;PR
385;2295255;Armação dos Búzios;RJ
386;162822;Armazém;SC
387;46124;Arneiroz;CE
388;40243;Aroazes;PI
389;131090;Aroeiras;PB
390;15539;Aroeiras do Itaim;PI
391;27534;Arraial;PI
392;803628;Arraial do Cabo;RJ
393;128267;Arraias;TO
394;938683;Arroio do Meio;RS
395;44477;Arroio do Padre;RS
396;183899;Arroio do Sal;RS
397;298346;Arroio do Tigre;RS
398;226846;Arroio dos Ratos;RS
399;508663;Arroio Grande;RS
400;80836;Arroio Trinta;SC
401;960169;Artur Nogueira;SP
402;160066;Aruanã;GO
403;4874536;Arujá;SP
404;96326;Arvoredo;SC
405;223872;Arvorezinha;RS
406;152527;Ascurra;SC
407;20575;Aspásia;SP
408;412725;Assaí;PR
409;161550;Assaré;CE
410;2789341;Assis;SP
411;74687;Assis Brasil;AC
412;994568;Assis Chateaubriand;PR
413;31771;Assunção;PB
414;40463;Assunção do Piauí;PI
415;263639;Astolfo Dutra;MG
416;595714;Astorga;PR
417;493152;Atalaia;AL
418;114257;Atalaia;PR
419;143421;Atalaia do Norte;AM
420;87690;Atalanta;SC
421;143107;Ataléia;MG
422;5290300;Atibaia;SP
423;251714;Atílio Vivacqua;ES
424;189485;Augustinópolis;TO
425;288960;Augusto Corrêa;PA
426;58782;Augusto de Lima;MG
427;261207;Augusto Pestana;RS
428;74323;Augusto Severo;RN
429;89533;Áurea;RS
430;106719;Aurelino Leal;BA
431;269593;Auriflama;SP
