167;Alto Taquari;MT;0.705;0.736;0.833;0.571
168;Altônia;PR;0.721;0.690;0.848;0.641
169;Altos;PI;0.614;0.590;0.767;0.512
170;Alumínio;SP;0.766;0.729;0.841;0.732
171;Alvarães;AM;0.527;0.499;0.778;0.377
172;Alvarenga;MG;0.592;0.589;0.798;0.441
173;Álvares Florence;SP;0.728;0.701;0.806;0.683
174;Álvares Machado;SP;0.758;0.712;0.834;0.732
175;Álvaro de Carvalho;SP;0.688;0.669;0.805;0.605
176;Alvinlândia;SP;0.722;0.721;0.791;0.659
177;Alvinópolis;MG;0.676;0.651;0.822;0.577
178;Alvorada;RS;0.699;0.694;0.874;0.564
179;Alvorada;TO;0.708;0.677;0.843;0.623
180;Alvorada de Minas;MG;0.572;0.570;0.794;0.414
181;Alvorada do Gurguéia;PI;0.578;0.520;0.749;0.496
182;Alvorada do Norte;GO;0.660;0.640;0.819;0.548
183;Alvorada do Sul;PR;0.708;0.695;0.826;0.617
184;Alvorada D'Oeste;RO;0.643;0.654;0.763;0.534
185;Amajari;RR;0.484;0.437;0.815;0.319
186;Amambai;MS;0.673;0.683;0.818;0.546
187;Amapá;AP;0.642;0.631;0.790;0.532
188;Amapá do Maranhão;MA;0.520;0.503;0.688;0.406
189;Amaporã;PR;0.669;0.644;0.785;0.591
190;Amaraji;PE;0.580;0.575;0.748;0.454
191;Amaral Ferrador;RS;0.624;0.664;0.802;0.457
192;Amaralina;GO;0.609;0.569;0.813;0.489
193;Amarante;PI;0.598;0.574;0.750;0.497
194;Amarante do Maranhão;MA;0.555;0.541;0.716;0.441
195;Amargosa;BA;0.625;0.616;0.807;0.492
196;Amaturá;AM;0.560;0.499;0.773;0.455
197;Amélia Rodrigues;BA;0.666;0.609;0.810;0.600
198;América Dourada;BA;0.561;0.506;0.751;0.464
199;Americana;SP;0.811;0.800;0.876;0.760
200;Americano do Brasil;GO;0.700;0.669;0.813;0.631
201;Américo Brasiliense;SP;0.751;0.709;0.852;0.701
202;Américo de Campos;SP;0.745;0.715;0.817;0.708
203;Ametista do Sul;RS;0.682;0.697;0.809;0.562
204;Amontada;CE;0.606;0.503;0.761;0.582
205;Amorinópolis;GO;0.681;0.672;0.813;0.579
206;Amparo;PB;0.606;0.537;0.752;0.551
207;Amparo;SP;0.785;0.780;0.871;0.711
208;Amparo de São Francisco;SE;0.611;0.569;0.728;0.550
209;Amparo do Serra;MG;0.641;0.616;0.811;0.528
210;Ampére;PR;0.709;0.699;0.824;0.620
211;Anadia;AL;0.568;0.546;0.756;0.444
212;Anagé;BA;0.540;0.549;0.771;0.371
213;Anahy;PR;0.695;0.671;0.844;0.593
214;Anajás;PA;0.484;0.506;0.774;0.290
215;Anajatuba;MA;0.581;0.523;0.762;0.492
216;Analândia;SP;0.754;0.745;0.861;0.668
217;Anamã;AM;0.594;0.537;0.741;0.526
218;Ananás;TO;0.671;0.621;0.804;0.605
219;Ananindeua;PA;0.718;0.684;0.821;0.658
220;Anápolis;GO;0.737;0.737;0.822;0.660
221;Anapu;PA;0.548;0.563;0.788;0.371
222;Anapurus;MA;0.581;0.511;0.764;0.502
223;Anastácio;MS;0.663;0.663;0.789;0.557
